Experiment name:,Goats and others
Duration:, 10 0
Rate:, 20 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S
Units:, \xc2\xb5S
Time
'0:0:37.15,1.0484
'0:0:37.2,1.0484
'0:0:37.25,1.0484
'0:0:37.3,1.0463
'0:0:37.35,1.0463
'0:0:37.4,1.0463
'0:0:37.45,1.0463
'0:0:37.5,1.0463
'0:0:37.55,1.0454
'0:0:37.6,1.0454
'0:0:37.65,1.0454
'0:0:37.7,1.0454
'0:0:37.75,1.0454
'0:0:37.8,1.0450
'0:0:37.85,1.0450
'0:0:37.9,1.0450
'0:0:37.95,1.0450
'0:0:38.0,1.0450
'0:0:38.05,1.0450
'0:0:38.1,1.0450
'0:0:38.15,1.0450
'0:0:38.2,1.0450
'0:0:38.25,1.0450
'0:0:38.3,1.0454
'0:0:38.35,1.0454
'0:0:38.4,1.0454
'0:0:38.45,1.0454
'0:0:38.5,1.0454
'0:0:38.55,1.0457
'0:0:38.6,1.0457
'0:0:38.65,1.0457
'0:0:38.7,1.0457
'0:0:38.75,1.0457
'0:0:38.8,1.0460
'0:0:38.85,1.0460
'0:0:38.9,1.0460
'0:0:38.95,1.0460
'0:0:39.0,1.0460
'0:0:39.05,1.0465
'0:0:39.1,1.0465
'0:0:39.15,1.0465
'0:0:39.2,1.0465
'0:0:39.25,1.0465
'0:0:39.3,1.0480
'0:0:39.35,1.0480
'0:0:39.4,1.0480
'0:0:39.45,1.0480
'0:0:39.5,1.0519
'0:0:39.55,1.0519
'0:0:39.6,1.0519
'0:0:39.65,1.0519
'0:0:39.7,1.0519
'0:0:39.75,1.0576
'0:0:39.8,1.0576
'0:0:39.85,1.0576
'0:0:39.9,1.0576
'0:0:39.95,1.0576
'0:0:40.0,1.0649
'0:0:40.05,1.0649
'0:0:40.1,1.0649
'0:0:40.15,1.0649
'0:0:40.2,1.0649
'0:0:40.25,1.0722
'0:0:40.3,1.0722
'0:0:40.35,1.0722
'0:0:40.4,1.0722
'0:0:40.45,1.0722
'0:0:40.5,1.0781
'0:0:40.55,1.0781
'0:0:40.6,1.0781
'0:0:40.65,1.0781
'0:0:40.7,1.0781
'0:0:40.75,1.0821
'0:0:40.8,1.0821
'0:0:40.85,1.0821
'0:0:40.9,1.0821
'0:0:40.95,1.0821
'0:0:41.0,1.0840
'0:0:41.05,1.0840
'0:0:41.1,1.0840
'0:0:41.15,1.0840
'0:0:41.2,1.0840
'0:0:41.25,1.0840
'0:0:41.3,1.0840
'0:0:41.35,1.0840
'0:0:41.4,1.0840
'0:0:41.45,1.0840
'0:0:41.5,1.0828
'0:0:41.55,1.0828
'0:0:41.6,1.0828
'0:0:41.65,1.0828
'0:0:41.7,1.0828
'0:0:41.75,1.0820
'0:0:41.8,1.0820
'0:0:41.85,1.0820
'0:0:41.9,1.0820
'0:0:41.95,1.0820
'0:0:42.0,1.0820
'0:0:42.05,1.0820
'0:0:42.1,1.0820
'0:0:42.15,1.0820
'0:0:42.2,1.0820
'0:0:42.25,1.0831
'0:0:42.3,1.0831
'0:0:42.35,1.0831
'0:0:42.4,1.0831
'0:0:42.45,1.0831
'0:0:42.5,1.0848
'0:0:42.55,1.0848
'0:0:42.6,1.0848
'0:0:42.65,1.0848
'0:0:42.7,1.0848
'0:0:42.75,1.0853
'0:0:42.8,1.0853
'0:0:42.85,1.0853
'0:0:42.9,1.0853
'0:0:42.95,1.0853
'0:0:43.0,1.0856
'0:0:43.05,1.0856
'0:0:43.1,1.0856
'0:0:43.15,1.0856
'0:0:43.2,1.0856
'0:0:43.25,1.0855
'0:0:43.3,1.0855
'0:0:43.35,1.0855
'0:0:43.4,1.0855
'0:0:43.45,1.0855
'0:0:43.5,1.0833
'0:0:43.55,1.0833
'0:0:43.6,1.0833
'0:0:43.65,1.0833
'0:0:43.7,1.0833
'0:0:43.75,1.0737
'0:0:43.8,1.0737
'0:0:43.85,1.0737
'0:0:43.9,1.0737
'0:0:43.95,1.0737
'0:0:44.0,1.0584
'0:0:44.05,1.0584
'0:0:44.1,1.0584
'0:0:44.15,1.0584
'0:0:44.2,1.0584
'0:0:44.25,1.0469
'0:0:44.3,1.0469
'0:0:44.35,1.0469
'0:0:44.4,1.0469
'0:0:44.45,1.0469
'0:0:44.5,1.0411
'0:0:44.55,1.0411
'0:0:44.6,1.0411
'0:0:44.65,1.0411
'0:0:44.7,1.0411
'0:0:44.75,1.0462
'0:0:44.8,1.0462
'0:0:44.85,1.0462
'0:0:44.9,1.0462
'0:0:44.95,1.0462
'0:0:45.0,1.0607
'0:0:45.05,1.0607
'0:0:45.1,1.0607
'0:0:45.15,1.0607
'0:0:45.2,1.0607
'0:0:45.25,1.0835
'0:0:45.3,1.0835
'0:0:45.35,1.0835
'0:0:45.4,1.0835
'0:0:45.45,1.0835
'0:0:45.5,1.1145
'0:0:45.55,1.1145
'0:0:45.6,1.1145
'0:0:45.65,1.1145
'0:0:45.7,1.1145
'0:0:45.75,1.1411
'0:0:45.8,1.1411
'0:0:45.85,1.1411
'0:0:45.9,1.1411
'0:0:45.95,1.1411
'0:0:46.0,1.1610
'0:0:46.05,1.1610
'0:0:46.1,1.1610
'0:0:46.15,1.1610
'0:0:46.2,1.1610
'0:0:46.25,1.1646
'0:0:46.3,1.1646
'0:0:46.35,1.1646
'0:0:46.4,1.1646
'0:0:46.45,1.1531
'0:0:46.5,1.1531
'0:0:46.55,1.1531
'0:0:46.6,1.1531
'0:0:46.65,1.1531
'0:0:46.7,1.1460
'0:0:46.75,1.1460
'0:0:46.8,1.1460
'0:0:46.85,1.1460
'0:0:46.9,1.1460
'0:0:46.95,1.1420
'0:0:47.0,1.1420
'0:0:47.05,1.1420
'0:0:47.1,1.1420
'0:0:47.15,1.1420
'0:0:47.2,1.1398
'0:0:47.25,1.1398
'0:0:47.3,1.1398
'0:0:47.35,1.1398
'0:0:47.4,1.1398
'0:0:47.45,1.1394
'0:0:47.5,1.1394
'0:0:47.55,1.1394
'0:0:47.6,1.1394
'0:0:47.65,1.1394
'0:0:47.7,1.1353
'0:0:47.75,1.1353
'0:0:47.8,1.1353
'0:0:47.85,1.1353
'0:0:47.9,1.1353
'0:0:47.95,1.1310
'0:0:48.0,1.1310
'0:0:48.05,1.1310
'0:0:48.1,1.1310
'0:0:48.15,1.1310
'0:0:48.2,1.1278
'0:0:48.25,1.1278
'0:0:48.3,1.1278
'0:0:48.35,1.1278
'0:0:48.4,1.1278
'0:0:48.45,1.1278
'0:0:48.5,1.1278
'0:0:48.55,1.1278
'0:0:48.6,1.1278
'0:0:48.65,1.1278
'0:0:48.7,1.1307
